name,esr_code,settlement_name,latitude,longitude,region
"Феодосия (перев., эксп.)",868706,Феодосия,45.0277777777778,35.3158333333333,
Ферзиково,187908,Ферзиково,54.5419444444444,36.7458333333333,
Ферма,761509,Ферма,51.6547222222222,46.0252777777778,
Филаретовка,973601,Филаретовка,45.5591666666667,133.511388888889,
Филимоново,893407,Филимоново,56.7752777777778,39.0980555555556,
Филино,310700,Филино,58.4480555555556,45.5183333333333,
Филино (перев.),310503,Филино,58.4480555555556,45.5183333333333,
Филипповка,659758,Филипповка,53.6066666666667,53.1447222222222,
Филоново,613307,Филоново,50.0402777777778,40.485,
Филькино,776006,Филькино,59.4061111111111,39.3663888888889,
Фирово,069307,Фирово,57.4813888888889,33.7016666666667,
Фитингоф,632327,Фитингоф,53.3988888888889,42.1794444444444,
Флюсовая,805800,Флюсовая,55.0575,60.0533333333333,
Фокино,200905,Фокино,56.165,45.8263888888889,
Фомино (рзд),165311,Фомино,57.0666666666667,34.6002777777778,
Фоминская,293054,Фоминская,62.1141666666667,42.4216666666667,
Фонталовская,523420,Фонталовская,45.3641666666667,36.935,
Форель,964028,Форель,49.0855555555556,135.157777777778,
Формачево,804206,Формачево,54.5311111111111,61.3061111111111,
Фридман,983711,Фридман,43.2191666666667,132.978055555556,
Фруктовая,234403,Фруктовая,54.9169444444444,39.2608333333333,
Фрязево,230807,Фрязево,55.7330555555556,38.4658333333333,
Фрязино,235302,Фрязино,55.9577777777778,38.0644444444444,
Фурманов,316001,Фурманов,52.065,51.6202777777778,
Хабаровск I,970406,Хабаровск,48.4802,135.0719,
Хабаровск I (перев.),970508,Хабаровск,48.4802,135.0719,
Хабаровск I (эксп.),970603,Хабаровск,48.4802,135.0719,
Хабаровск II,970001,Хабаровск,48.4802,135.0719,
Хабаровск II (перев.),970707,Хабаровск,48.4802,135.0719,
Хабаровск II (эксп.),971004,Хабаровск,48.4802,135.0719,
Хабарчиха,787138,Хабарчиха,58.52,61.7477777777778,
Хабары,836103,Хабары,53.6233333333333,79.5394444444444,
Хабзас,886668,Хабзас,53.3813888888889,89.8072222222222,
Хабль,523702,Хабль,44.9288888888889,38.3127777777778,
Хака,971517,Хака,47.8533333333333,134.944166666667,
Халатово (рзд),603447,Халатово,53.2252777777778,39.5597222222222,
Халилово,813807,Халилово,53.0511111111111,58.5583333333333,
Халкидон,974712,Халкидон,44.2741666666667,132.453333333333,
Хальгасо,919804,Хальгасо,50.6966666666667,136.893055555556,
Хани,904601,Хани,57.7736111111111,32.6447222222222,
Ханино,212601,Ханино,55.2316666666667,40.0744444444444,
Ханки,738409,Ханки,61.9236111111111,30.5719444444444,
Ханкуль,887637,Ханкуль,53.3963888888889,90.8905555555556,
Хановей,289529,Хановей,67.2825,63.6525,
Ханская,534707,Ханская,44.6747222222222,39.9611111111111,
Ханымей,798522,Ханымей,63.7236111111111,75.9616666666667,
Хапры,510505,Хапры,47.2708333333333,39.4377777777778,
Харагун,941206,Харагун,53.3513888888889,101.580555555556,
Харанор,945404,Харанор,50.1152777777778,116.671111111111,
Харенки,783601,Харенки,57.6502777777778,58.9725,
Харик,922807,Харик,54.2402777777778,101.658333333333,
Харпичан,919306,Харпичан,51.2936111111111,136.525277777778,
Хасан,987002,Хасан,42.4238888888889,130.651944444444,
Хасан (эксп.),987106,Хасан,42.4238888888889,130.651944444444,
Хвойная,043909,Хвойная,58.1780555555556,30.5272222222222,
Хворостянка,597814,Хворостянка,54.8552777777778,38.3102777777778,
Хевчен (рзд),964602,Хевчен,49.7175,135.766944444444,
Хелюля,023801,Хелюля,61.7444444444444,30.6691666666667,
Хемалда,302210,Хемалда,59.1336111111111,38.0838888888889,
Херсон,417804,Херсон,51.4022222222222,58.5622222222222,
Херсон (эксп.),418506,Херсон,51.4022222222222,58.5622222222222,
Херсон (эксп.мор.),418604,Херсон,51.4022222222222,58.5622222222222,
Хибины,016121,Хибины,67.6616666666667,33.2272222222222,
Хийтола,022404,Хийтола,61.2386111111111,29.6905555555556,
Хилок,940909,Хилок,51.3633333333333,110.458888888889,
Химки,060302,Химки,55.8888888888889,37.4302777777778,
Хингуй,921363,Хингуй,54.7966666666667,99.4425,
Хлебный (рзд),619229,Хлебный,50.8680555555556,46.9477777777778,
Хлебодаровка,486908,Хлебодаровка,53.0627777777778,56.325,
Хлебодаровка,901209,Хлебодаровка,53.0627777777778,56.325,
Хлевище,581303,Хлевище,50.5566666666667,38.5422222222222,
Хлопуново,843944,Хлопуново,52.0725,82.0194444444444,
Хлудово,631714,Хлудово,57.56,38.0591666666667,
Хлюстино,168911,Хлюстино,56.9944444444444,28.0561111111111,
Хмельники,297012,Хмельники,56.2908333333333,41.9613888888889,
Хоботово,603907,Хоботово,53.0697222222222,40.3811111111111,
Хованщина,641129,Хованщина,54.0733333333333,44.5988888888889,
Ховрино,060001,Ховрино,55.9341666666667,37.6522222222222,
Холбон,948050,Холбон,51.9027777777778,116.243888888889,
Холки,438904,Холки,50.8494444444444,37.8241666666667,
Холмечи,204107,Холмечи,52.5033333333333,34.2119444444444,
Холмогорская,295202,Холмогорская,63.8108333333333,40.6463888888889,
Холмск,993304,Холмск,47.0408333333333,142.041666666667,
Холмск (перев.),993408,Холмск,47.0408333333333,142.041666666667,
Холмск (эксп.),993501,Холмск,47.0408333333333,142.041666666667,
Холодный (рзд),903327,Холодный,62.7125,147.916388888889,
Холодный Ключ,956709,Холодный ключ,52.7369444444444,55.6325,
Холщевики,197308,Холщёвики,55.9161111111111,36.685,
Хомутово,217906,Хомутово,57.405,37.9383333333333,
Хомяково,210502,Хомяково,54.3652777777778,37.5694444444444,
Хоных,887707,Хоных,53.5461111111111,91.0797222222222,
Хор,971502,Хор,47.8852777777778,134.9575,
Хорлово,233519,Хорлово,55.3291666666667,38.8133333333333,
Хорогочи,904813,Хорогочи,55.3702777777778,123.749166666667,
Хорольск,975202,Хорольск,44.3730555555556,132.121666666667,
Хортица,465403,Хортица,52.4683333333333,54.2416666666667,
Хотмыжск,436203,Хотмыжск,50.5963888888889,35.8633333333333,
Хотхор,930413,Хотхор,53.4758333333333,102.635833333333,
Хотынец,200604,Хотынец,53.1408333333333,35.3947222222222,
Хотьково,236201,Хотьково,53.7652777777778,35.2233333333333,
Хохотуй,940608,Хохотуй,51.2861111111111,109.570277777778,
Храмцовская,794803,Храмцовская,56.5483333333333,61.4372222222222,
Храпуново,230703,Храпуново,57.3330555555556,41.4194444444444,
Хребет,806004,Хребет,55.0825,59.8297222222222,
Хребет-Уральский,766428,Хребет-Уральский,58.4119444444444,59.3994444444444,
Хребтовая,925805,Хребтовая,56.7052777777778,104.258333333333,
Хреновая,582804,Хреновая,55.9269444444444,34.5441666666667,
Хризолитовый,794502,Хризолитовый,56.6816666666667,61.0477777777778,
Христиновка,421104,Христиновка,51.4908333333333,128.800555555556,
Христофоровка,990607,Христофоровка,47.16,38.7025,
Хрущево,223409,Хрущево,52.8566666666667,38.9105555555556,
Худяково,787706,Худяково,56.8358333333333,42.6480555555556,
Хужир,936725,Хужир,53.1936111111111,107.342777777778,
Хурба,965624,Хурба,50.4041666666667,136.887222222222,
Хурмули,919607,Хурмули,51.0069444444444,136.895,
Хуту (рзд),967121,Хуту,49.4677777777778,140.006944444444,
Хушенга,941102,Хушенга,51.4336111111111,110.9225,
Цаплино,840607,Цаплино,55.4913888888889,38.9211111111111,
Царевщина,637602,Царевщина,52.4388888888889,46.7180555555556,
Царицыно,191424,Царицыно,54.9988888888889,41.42,
Цветково,422605,Цветково,60.7805555555556,30.17,
Цветочный (рзд),619021,Цветочный,53.3022222222222,36.6236111111111,
Цвылево,047613,Цвылево,59.65,33.2161111111111,
Целина,517608,Целина,46.5336111111111,41.0322222222222,
Цементный Завод,817901,Цементный,50.9411111111111,49.2655555555556,
Центральная,482042,Центральная,53.5358333333333,41.0766666666667,
Центральная,898044,Центральная,53.5358333333333,41.0766666666667,
Цивильск,248302,Цивильск,55.865,47.4730555555556,
Цильна,645308,ст. Цильна,54.593908,48.144094,
Чаадаевка,634604,Чаадаевка,53.1144444444444,45.9711111111111,
Чаган,709603,Чаган,46.175,47.9675,
Чаглово (рзд),269046,Чаглово,56.07,43.8402777777778,
Чагода,043504,Чагода,59.1369444444444,35.2905555555556,
Чагра,639104,Чагра,52.6633333333333,49.315,
Чад,258501,Чад,56.2180555555556,56.3177777777778,
Чайда,882008,Чайда,57.4302777777778,91.71,
Чайковская,762543,Чайковская,58.1302777777778,55.5338888888889,
Чакино,601742,Чакино,52.2338888888889,41.9519444444444,
Чалганы,952802,Чалганы,52.9511111111111,126.435,
Чалыкла,628321,Чалыкла,51.2033333333333,49.4541666666667,
Чамзинка,247102,Чамзинка,54.0702777777778,46.445,
Чаны,833302,Чаны,55.3091666666667,76.7613888888889,
Чапаевск,639203,Чапаевск,52.9788888888889,49.7136111111111,
Чаплино,454201,Чаплино,53.1366666666667,38.5613888888889,
Чапурники,612249,Чапурники,48.4497222222222,44.5019444444444,
Чапчачи,618033,Чапчачи,45.4211111111111,46.5130555555556,
Чарыш,886481,Чарыш,53.4788888888889,89.0347222222222,
