Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  151.,Амосово,Б,24 Горьк (Р),243559,
  152.,Амре,О,83 З-Сиб (Р),834517,
  153.,Амур,О,45 Придн (У),450624,
  154.,Анага,О,57 Грз,562016,
  155.,Анамжак,О,94 Заб (Р),949369,
  156.,Анария,О,57 Грз,573218,
  157.,Анатолий,О,83 З-Сиб (Р),841614,
  158.,Ангарская,О,10 Клг (Р),102516,
  159.,Ангеловка,О,35 Льв (У),360951,
  160.,Анджиевский,Б,51 С-Кав (Р),531963,
  161.,Андома Переезд,О,28 Сев (Р),305416,
  162.,Андреевка,О,43 Южн (У),444110,
  163.,Андреевка,О,48 Дон (У),491937,
  164.,Андреевка,О,80 Ю-Ур (Р),815643,
  165.,Андреевка,О,89 89-я дорога,957435,
  166.,Андреевский,О,24 Горьк (Р),248938,
  167.,Андреевское,О,28 Сев (Р),304432,
  168.,Андрейшур,О,24 Горьк (Р),277714,
  169.,Андроновка,О,17 Моск (Р),193928,
  170.,Андроповский,О,51 С-Кав (Р),531450,
  171.,Андрусово,О,32 Ю-Зап (У),338119,
  172.,Анены,О,39 Млд,390716,
  173.,Аникеевка,О,17 Моск (Р),196536,
  174.,Аникино,О,76 Сверд (Р),762323,
  175.,Анисимово,О,83 З-Сиб (Р),846213,
  176.,Анисово,О,32 Ю-Зап (У),325021,
  177.,Анишино,О,01 Окт (Р),056222,
  178.,Анкудиновка,О,24 Горьк (Р),269455,
  179.,Анне,О,08 Эст,085615,
  180.,Анненковский лес,О,63 Кбш (Р),643938,
  181.,Аннинское,О,28 Сев (Р),303285,
  182.,Анновка,О,40 Од (У),412726,
  183.,Аношкино,О,58 Ю-Вост (Р),597335,
  184.,Антипино,О,28 Сев (Р),305331,
  185.,Антиповка,О,61 Прив (Р),609316,
  186.,Антонины Петровой,О,01 Окт (Р),072117,
  187.,Антоновка,О,13 Бел,157724,
  188.,Антоновка,О,40 Од (У),409244,
  189.,Антоново,О,28 Сев (Р),280519,
  190.,Антополь,О,13 Бел,132816,
  191.,Антополь,О,13 Бел,154726,
  192.,Антропово,О,88 Крас (Р),884041,
  193.,Анужяй,О,12 Лит,108747,
  194.,Анусино,О,13 Бел,143524,
  195.,Анфалово,О,80 Ю-Ур (Р),829612,
  196.,Анцелович,О,58 Ю-Вост (Р),585111,
  197.,Апгулде,О,09 Лат,092841,
  198.,Апнерка,Б,24 Горьк (Р),245520,
  199.,Аполлоновка,О,13 Бел,156825,
  200.,Апраксин,О,01 Окт (Р),048476,
  201.,Апрелково,О,94 Заб (Р),948027,
  202.,Апсагачево,О,83 З-Сиб (Р),875413,
  203.,Апсени,О,09 Лат,113340,
  204.,Апушкино,О,28 Сев (Р),306033,
  205.,Апшупе,О,09 Лат,097627,
  206.,Ара-Булак,О,94 Заб (Р),943517,
  207.,Араду,О,57 Грз,573345,
  208.,Аракаево,О,76 Сверд (Р),782219,
  209.,Арашенда,О,57 Грз,561511,
  210.,Аргаза,О,88 Крас (Р),888964,
  211.,Арги-Паги,О,96 Д-Вост (Р),997926,
  212.,Аргистар,О,88 Крас (Р),885519,
  213.,Аргудан,О,51 С-Кав (Р),537724,
  214.,Аргуновский,О,63 Кбш (Р),648630,
  215.,Ардава,О,09 Лат,113410,
  216.,Арзув,О,75 Трк,751013,
  217.,Аркарлы,О,68 Кзх,677258,
  218.,Аркино,О,17 Моск (Р),204639,
  219.,Арламовская Воля,О,35 Льв (У),374223,
  220.,Армази,О,57 Грз,560420,
  221.,Арматнюв,О,35 Льв (У),359011,
  222.,Артаниш,О,56 Ю-Кав,569015,
  223.,Артем,О,96 Д-Вост (Р),982210,
  224.,Артемовка,О,43 Южн (У),441112,
  225.,Артемовский,О,76 Сверд (Р),784912,
  226.,Архарлы,О,68 Кзх,700825,
  227.,Арчалы,О,80 Ю-Ур (Р),803453,
  228.,Арыс II,П,68 Кзх,698019,
