Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 5612.,Ост. Пункт 1273 км,О,63 Кбш (Р),659353,
 5613.,Ост. Пункт 1275 км,О,80 Ю-Ур (Р),810828,
 5614.,Ост. Пункт 1277 км,О,80 Ю-Ур (Р),810832,
 5615.,Ост. Пункт 1278 км,О,80 Ю-Ур (Р),810086,
 5616.,Ост. Пункт 1279 км,О,63 Кбш (Р),648683,
 5617.,Ост. Пункт 1279 км,О,63 Кбш (Р),659457,
 5618.,Ост. Пункт 128 км,О,17 Моск (Р),186229,
 5619.,Ост. Пункт 128 км,О,17 Моск (Р),238180,
 5620.,Ост. Пункт 128 км,О,56 Ю-Кав,568953,
 5621.,Ост. Пункт 128 км,О,58 Ю-Вост (Р),606125,
 5622.,Ост. Пункт 1284 км,О,40 Од (У),400930,
 5623.,Ост. Пункт 1287 км,О,63 Кбш (Р),648679,
 5624.,Ост. Пункт 129 км,О,17 Моск (Р),186110,
 5625.,Ост. Пункт 129 км,Х,45 Придн (У),465738,
 5626.,Ост. Пункт 129 км,О,76 Сверд (Р),766220,
 5627.,Ост. Пункт 129 км,О,88 Крас (Р),884821,
 5628.,Ост. Пункт 1290 км,О,80 Ю-Ур (Р),804121,
 5629.,Ост. Пункт 1295 км,О,63 Кбш (Р),659442,
 5630.,Ост. Пункт 1295 км,О,80 Ю-Ур (Р),811017,
 5631.,Ост. Пункт 1297 км,О,40 Од (У),400019,
 5632.,Ост. Пункт 1298 км,О,63 Кбш (Р),648698,
 5633.,Ост. Пункт 1299 км,О,80 Ю-Ур (Р),811021,
 5634.,Ост. Пункт 13 км,О,01 Окт (Р),033837,
 5635.,Ост. Пункт 13 км,О,43 Южн (У),430955,
 5636.,Ост. Пункт 13 км,О,43 Южн (У),440514,
 5637.,Ост. Пункт 13 км,О,63 Кбш (Р),647587,
 5638.,Ост. Пункт 13 км,О,63 Кбш (Р),655117,
 5639.,Ост. Пункт 13 км,О,63 Кбш (Р),658515,
 5640.,Ост. Пункт 13 км,О,73 Узбк,733617,
 5641.,Ост. Пункт 13 км,О,76 Сверд (Р),790427,
 5642.,Ост. Пункт 13 км,О,80 Ю-Ур (Р),811958,
 5643.,Ост. Пункт 13 км,О,83 З-Сиб (Р),850219,
 5644.,Ост. Пункт 130 км,О,01 Окт (Р),041829,
 5645.,Ост. Пункт 130 км,О,24 Горьк (Р),271928,
 5646.,Ост. Пункт 130 км,О,43 Южн (У),430137,
 5647.,Ост. Пункт 130 км,О,51 С-Кав (Р),516323,
 5648.,Ост. Пункт 130 км,О,76 Сверд (Р),766235,
 5649.,Ост. Пункт 1300 км,О,51 С-Кав (Р),511321,
 5650.,Ост. Пункт 1304 км,О,80 Ю-Ур (Р),811036,
 5651.,Ост. Пункт 1305 км,О,63 Кбш (Р),659512,
 5652.,Ост. Пункт 1309 км,О,80 Ю-Ур (Р),811271,
 5653.,Ост. Пункт 131 км,О,17 Моск (Р),200252,
 5654.,Ост. Пункт 131 км,О,40 Од (У),403712,
 5655.,Ост. Пункт 131 км,О,58 Ю-Вост (Р),436358,
 5656.,Ост. Пункт 131 км,О,48 Дон (У),505160,
 5657.,Ост. Пункт 131 км,О,80 Ю-Ур (Р),820020,
 5658.,Ост. Пункт 131 км,О,80 Ю-Ур (Р),827439,
 5659.,Ост. Пункт 131 км,О,84 84-я дорога,848242,
 5660.,Ост. Пункт 1311 км,О,80 Ю-Ур (Р),811040,
 5661.,Ост. Пункт 1314 км,О,63 Кбш (Р),659616,
 5662.,Ост. Пункт 1314 км,О,80 Ю-Ур (Р),804117,
 5663.,Ост. Пункт 1316 км,О,80 Ю-Ур (Р),811055,
 5664.,Ост. Пункт 1319 км,О,63 Кбш (Р),659644,
 5665.,Ост. Пункт 132 км,Б,40 Од (У),420811,
 5666.,Ост. Пункт 132 км,О,76 Сверд (Р),768527,
 5667.,Ост. Пункт 1325 км,О,80 Ю-Ур (Р),811110,
 5668.,Ост. Пункт 1326 км,О,63 Кбш (Р),659635,
 5669.,Ост. Пункт 1326 км,О,80 Ю-Ур (Р),811159,
 5670.,Ост. Пункт 133 км,О,17 Моск (Р),201857,
 5671.,Ост. Пункт 133 км,О,32 Ю-Зап (У),329919,
 5672.,Ост. Пункт 133 км,О,45 Придн (У),465719,
 5673.,Ост. Пункт 133 км,О,48 Дон (У),505155,
 5674.,Ост. Пункт 1330 км,О,80 Ю-Ур (Р),818656,
 5675.,Ост. Пункт 1332 км,О,80 Ю-Ур (Р),811125,
 5676.,Ост. Пункт 1334 км,О,63 Кбш (Р),659710,
 5677.,Ост. Пункт 1335 км,О,80 Ю-Ур (Р),811135,
 5678.,Ост. Пункт 1336 км,О,63 Кбш (Р),659866,
 5679.,Ост. Пункт 1337 км,О,51 С-Кав (Р),510242,
 5680.,Ост. Пункт 1338 км,О,35 Льв (У),360076,
 5681.,Ост. Пункт 1338 км,О,80 Ю-Ур (Р),811178,
 5682.,Ост. Пункт 134 км,О,51 С-Кав (Р),516319,
 5683.,Ост. Пункт 134 км,О,58 Ю-Вост (Р),581731,
 5684.,Ост. Пункт 134 км,О,51 С-Кав (Р),586773,
 5685.,Ост. Пункт 1342 км,О,63 Кбш (Р),659739,
 5686.,Ост. Пункт 1342 км,О,80 Ю-Ур (Р),811144,
 5687.,Ост. Пункт 1344 км,О,51 С-Кав (Р),510223,
 5688.,Ост. Пункт 1345 км,О,63 Кбш (Р),659743,
 5689.,Ост. Пункт 135 км,О,48 Дон (У),505140,
 5690.,Ост. Пункт 135 км,О,58 Ю-Вост (Р),606110,
 5691.,Ост. Пункт 135 км,О,88 Крас (Р),884836,
 5692.,Ост. Пункт 135 км,О,84 84-я дорога,848238,
 5693.,Ост. Пункт 1352 км,О,80 Ю-Ур (Р),811214,
 5694.,Ост. Пункт 1353 км,О,63 Кбш (Р),659813,
 5695.,Ост. Пункт 1353 км,О,80 Ю-Ур (Р),811286,
 5696.,Ост. Пункт 1354 км,О,80 Ю-Ур (Р),811267,
 5697.,Ост. Пункт 1357 км,О,80 Ю-Ур (Р),811229,
 5698.,Ост. Пункт 1359 км,О,51 С-Кав (Р),510026,
 5699.,Ост. Пункт 136 км,О,17 Моск (Р),188915,
 5700.,Ост. Пункт 136 км,О,17 Моск (Р),238211,
 5701.,Ост. Пункт 136 км,О,43 Южн (У),428315,
 5702.,Ост. Пункт 136 км,О,43 Южн (У),442519,
 5703.,Ост. Пункт 136 км,О,51 С-Кав (Р),588213,
 5704.,Ост. Пункт 136 км,О,63 Кбш (Р),630321,
 5705.,Ост. Пункт 136 км,О,68 Кзх,714226,
 5706.,Ост. Пункт 136 км,О,76 Сверд (Р),786417,
 5707.,Ост. Пункт 1360 км,О,80 Ю-Ур (Р),811233,
 5708.,Ост. Пункт 1361 км,О,51 С-Кав (Р),510030,
 5709.,Ост. Пункт 1361 км,О,63 Кбш (Р),651120,
 5710.,Ост. Пункт 1363 км,О,63 Кбш (Р),659851,
 5711.,Ост. Пункт 1363 км,О,80 Ю-Ур (Р),811248,
 5712.,Ост. Пункт 1366 км,О,63 Кбш (Р),659847,
 5713.,Ост. Пункт 1367 км,О,45 Придн (У),470026,
 5714.,Ост. Пункт 1367 км,О,80 Ю-Ур (Р),811252,
 5715.,Ост. Пункт 1367 км,О,85 Крым (Р),856145,
 5716.,Ост. Пункт 1369 км,О,45 Придн (У),470011,
 5717.,Ост. Пункт 1369 км,О,85 Крым (Р),856155,
 5718.,Ост. Пункт 137 км,О,17 Моск (Р),218010,
 5719.,Ост. Пункт 137 км,О,17 Моск (Р),229528,
 5720.,Ост. Пункт 137 км,О,43 Южн (У),428372,
 5721.,Ост. Пункт 137 км,О,45 Придн (У),452314,
 5722.,Ост. Пункт 137 км,О,45 Придн (У),477612,
 5723.,Ост. Пункт 137 км,О,51 С-Кав (Р),542012,
 5724.,Ост. Пункт 137 км,О,51 С-Кав (Р),586769,
 5725.,Ост. Пункт 137 км,О,76 Сверд (Р),785931,
 5726.,Ост. Пункт 137 км,О,76 Сверд (Р),786421,
 5727.,Ост. Пункт 137 км,О,80 Ю-Ур (Р),810546,
 5728.,Ост. Пункт 1370 км,О,51 С-Кав (Р),514116,
 5729.,Ост. Пункт 1373 км,О,51 С-Кав (Р),514120,
 5730.,Ост. Пункт 1376 км,О,51 С-Кав (Р),514147,
 5731.,Ост. Пункт 1377 км,О,63 Кбш (Р),659989,
 5732.,Ост. Пункт 138 км,О,17 Моск (Р),186943,
 5733.,Ост. Пункт 138 км,Х,45 Придн (У),465367,
 5734.,Ост. Пункт 138 км,О,51 С-Кав (Р),519552,
 5735.,Ост. Пункт 138 км,О,88 Крас (Р),884840,
 5736.,Ост. Пункт 1381 км,О,80 Ю-Ур (Р),811356,
 5737.,Ост. Пункт 1383 км,О,80 Ю-Ур (Р),811318,
 5738.,Ост. Пункт 1386 км,О,51 С-Кав (Р),514213,
 5739.,Ост. Пункт 1386 км,О,80 Ю-Ур (Р),811360,
 5740.,Ост. Пункт 1387 км,О,63 Кбш (Р),651224,
 5741.,Ост. Пункт 1388 км,О,51 С-Кав (Р),514224,
 5742.,Ост. Пункт 1388 км,О,63 Кбш (Р),659921,
 5743.,Ост. Пункт 139 км,О,73 Узбк,741416,
 5744.,Ост. Пункт 1390 км,О,80 Ю-Ур (Р),811322,
 5745.,Ост. Пункт 1391 км,О,80 Ю-Ур (Р),811337,
 5746.,Ост. Пункт 1394 км,О,80 Ю-Ур (Р),811341,
 5747.,Ост. Пункт 14 км,О,01 Окт (Р),033841,
 5748.,Ост. Пункт 14 км,О,17 Моск (Р),177465,
 5749.,Ост. Пункт 14 км,О,17 Моск (Р),208428,
 5750.,Ост. Пункт 14 км,О,17 Моск (Р),205044,
 5751.,Ост. Пункт 14 км,О,17 Моск (Р),231142,
 5752.,Ост. Пункт 14 км,О,43 Южн (У),442153,
 5753.,Ост. Пункт 14 км,О,48 Дон (У),483312,
 5754.,Ост. Пункт 14 км,О,48 Дон (У),503022,
 5755.,Ост. Пункт 14 км,О,48 Дон (У),505622,
 5756.,Ост. Пункт 14 км,О,48 Дон (У),506514,
 5757.,Ост. Пункт 14 км,О,58 Ю-Вост (Р),597417,
 5758.,Ост. Пункт 14 км,О,70 Кирг,719215,
 5759.,Ост. Пункт 14 км,О,76 Сверд (Р),770315,
 5760.,Ост. Пункт 14 км,О,76 Сверд (Р),770866,
 5761.,Ост. Пункт 14 км,О,80 Ю-Ур (Р),816237,
 5762.,Ост. Пункт 14 км,О,89 89-я дорога,899032,
 5763.,Ост. Пункт 14 км,О,84 84-я дорога,848331,
 5764.,Ост. Пункт 140 км,О,17 Моск (Р),184011,
 5765.,Ост. Пункт 140 км,О,17 Моск (Р),186017,
 5766.,Ост. Пункт 140 км,О,24 Горьк (Р),272015,
 5767.,Ост. Пункт 140 км,О,32 Ю-Зап (У),346365,
 5768.,Ост. Пункт 140 км,О,58 Ю-Вост (Р),436330,
 5769.,Ост. Пункт 140 км,О,48 Дон (У),505121,
 5770.,Ост. Пункт 140 км,О,51 С-Кав (Р),586754,
 5771.,Ост. Пункт 140 км,О,75 Трк,755419,
 5772.,Ост. Пункт 140 км,О,84 84-я дорога,848223,
 5773.,Ост. Пункт 1401 км,О,51 С-Кав (Р),515342,
 5774.,Ост. Пункт 1402 км,О,63 Кбш (Р),659963,
 5775.,Ост. Пункт 1404 км,О,63 Кбш (Р),659974,
 5776.,Ост. Пункт 1404 км,О,80 Ю-Ур (Р),811411,
 5777.,Ост. Пункт 1409 км,О,80 Ю-Ур (Р),811426,
 5778.,Ост. Пункт 141 км,О,43 Южн (У),432946,
 5779.,Ост. Пункт 141 км,О,63 Кбш (Р),644131,
 5780.,Ост. Пункт 1411 км,О,51 С-Кав (Р),514313,
 5781.,Ост. Пункт 1411 км,О,63 Кбш (Р),651313,
 5782.,Ост. Пункт 1412 км,О,51 С-Кав (Р),514328,
 5783.,Ост. Пункт 1413 км,О,51 С-Кав (Р),515369,
 5784.,Ост. Пункт 1413 км,О,63 Кбш (Р),656410,
 5785.,Ост. Пункт 1413 км,О,80 Ю-Ур (Р),811445,
 5786.,Ост. Пункт 1417 км,О,80 Ю-Ур (Р),811430,
 5787.,Ост. Пункт 142 км,О,17 Моск (Р),186939,
 5788.,Ост. Пункт 142 км,О,17 Моск (Р),188737,
 5789.,Ост. Пункт 142 км,О,24 Горьк (Р),276016,
 5790.,Ост. Пункт 142 км,Х,45 Придн (У),465348,
 5791.,Ост. Пункт 142 км,О,51 С-Кав (Р),580322,
 5792.,Ост. Пункт 142 км,О,80 Ю-Ур (Р),810897,
 5793.,Ост. Пункт 1421 км,О,63 Кбш (Р),656433,
 5794.,Ост. Пункт 1424 км,О,63 Кбш (Р),656444,
 5795.,Ост. Пункт 1425 км,О,01 Окт (Р),016916,
 5796.,Ост. Пункт 1427 км,О,80 Ю-Ур (Р),811515,
 5797.,Ост. Пункт 143 км,О,17 Моск (Р),202012,
 5798.,Ост. Пункт 143 км,О,43 Южн (У),447585,
 5799.,Ост. Пункт 143 км,О,48 Дон (У),505117,
 5800.,Ост. Пункт 143 км,О,80 Ю-Ур (Р),816148,
 5801.,Ост. Пункт 143 км,О,84 84-я дорога,848219,
 5802.,Ост. Пункт 1432 км,О,80 Ю-Ур (Р),811520,
 5803.,Ост. Пункт 1433 км,О,63 Кбш (Р),651351,
 5804.,Ост. Пункт 1436 км,О,63 Кбш (Р),656533,
 5805.,Ост. Пункт 144 км,О,17 Моск (Р),185283,
 5806.,Ост. Пункт 144 км,О,51 С-Кав (Р),523416,
 5807.,Ост. Пункт 144 км,О,61 Прив (Р),621657,
 5808.,Ост. Пункт 144 км,О,88 Крас (Р),884855,
 5809.,Ост. Пункт 144 км,О,01 Окт (Р),021346,
 5810.,Ост. Пункт 1444 км,О,63 Кбш (Р),651417,
 5811.,Ост. Пункт 1445 км,О,40 Од (У),405559,
 5812.,Ост. Пункт 1445 км,О,63 Кбш (Р),656552,
 5813.,Ост. Пункт 1445 км,О,80 Ю-Ур (Р),811680,
 5814.,Ост. Пункт 145 км,О,51 С-Кав (Р),586735,
 5815.,Ост. Пункт 145 км,О,75 Трк,755423,
 5816.,Ост. Пункт 145 км,О,76 Сверд (Р),767223,
 5817.,Ост. Пункт 1450 км,О,45 Придн (У),474012,
 5818.,Ост. Пункт 1450 км,О,85 Крым (Р),856713,
 5819.,Ост. Пункт 1451 км,О,63 Кбш (Р),656711,
 5820.,Ост. Пункт 1454 км,О,51 С-Кав (Р),514614,
 5821.,Ост. Пункт 1455 км,О,63 Кбш (Р),651474,
 5822.,Ост. Пункт 1459 км,О,51 С-Кав (Р),514629,
 5823.,Ост. Пункт 1459 км,О,80 Ю-Ур (Р),811657,
 5824.,Ост. Пункт 146 км,О,17 Моск (Р),188741,
 5825.,Ост. Пункт 146 км,О,17 Моск (Р),209510,
 5826.,Ост. Пункт 146 км,О,17 Моск (Р),228921,
 5827.,Ост. Пункт 146 км,О,43 Южн (У),432927,
 5828.,Ост. Пункт 146 км,О,43 Южн (У),426822,
 5829.,Ост. Пункт 146 км,О,51 С-Кав (Р),588232,
 5830.,Ост. Пункт 1464 км,О,63 Кбш (Р),656745,
 5831.,Ост. Пункт 147 км,О,01 Окт (Р),063644,
 5832.,Ост. Пункт 147 км,О,17 Моск (Р),179047,
 5833.,Ост. Пункт 147 км,О,17 Моск (Р),188722,
 5834.,Ост. Пункт 147 км,О,17 Моск (Р),218035,
 5835.,Ост. Пункт 147 км,О,43 Южн (У),428349,
 5836.,Ост. Пункт 147 км,О,51 С-Кав (Р),517612,
 5837.,Ост. Пункт 147 км,О,80 Ю-Ур (Р),810885,
 5838.,Ост. Пункт 1472 км,О,63 Кбш (Р),656815,
 5839.,Ост. Пункт 1477 км,О,51 С-Кав (Р),514722,
 5840.,Ост. Пункт 1478 км,О,24 Горьк (Р),259129,
 5841.,Ост. Пункт 1479 км,О,80 Ю-Ур (Р),811712,
 5842.,Ост. Пункт 148 км,О,01 Окт (Р),027022,
 5843.,Ост. Пункт 148 км,О,17 Моск (Р),188756,
 5844.,Ост. Пункт 148 км,О,58 Ю-Вост (Р),436311,
 5845.,Ост. Пункт 148 км,Х,45 Придн (У),465329,
 5846.,Ост. Пункт 148 км,О,58 Ю-Вост (Р),606144,
 5847.,Ост. Пункт 148 км,О,68 Кзх,714315,
 5848.,Ост. Пункт 148 км,О,76 Сверд (Р),785984,
 5849.,Ост. Пункт 1481 км,О,40 Од (У),405313,
 5850.,Ост. Пункт 149 км,О,32 Ю-Зап (У),329823,
 5851.,Ост. Пункт 149 км,О,51 С-Кав (Р),586720,
 5852.,Ост. Пункт 149 км,О,63 Кбш (Р),636188,
 5853.,Ост. Пункт 149 км,О,80 Ю-Ур (Р),813116,
 5854.,Ост. Пункт 1490 км,О,51 С-Кав (Р),514811,
 5855.,Ост. Пункт 1497 км,О,40 Од (У),405120,
 5856.,Ост. Пункт 1498 км,О,51 С-Кав (Р),514830,
 5857.,Ост. Пункт 1499 км,О,63 Кбш (Р),656942,
 5858.,Ост. Пункт 1499 км,О,80 Ю-Ур (Р),811820,
 5859.,Ост. Пункт 15 км,О,13 Бел,150299,
 5860.,Ост. Пункт 15 км,О,43 Южн (У),444820,
 5861.,Ост. Пункт 15 км,О,48 Дон (У),491728,
 5862.,Ост. Пункт 15 км,О,48 Дон (У),500433,
 5863.,Ост. Пункт 15 км,О,58 Ю-Вост (Р),582950,
 5864.,Ост. Пункт 15 км,О,58 Ю-Вост (Р),580527,
 5865.,Ост. Пункт 15 км,О,51 С-Кав (Р),587333,
 5866.,Ост. Пункт 15 км,О,63 Кбш (Р),636031,
 5867.,Ост. Пункт 15 км,О,63 Кбш (Р),644631,
 5868.,Ост. Пункт 15 км,О,63 Кбш (Р),655121,
 5869.,Ост. Пункт 15 км,О,73 Узбк,740023,
 5870.,Ост. Пункт 15 км,О,76 Сверд (Р),770324,
 5871.,Ост. Пункт 15 км,О,80 Ю-Ур (Р),802713,
 5872.,Ост. Пункт 15 км,Х,83 З-Сиб (Р),844716,
 5873.,Ост. Пункт 15 км,О,96 Д-Вост (Р),991811,
 5874.,Ост. Пункт 15 км,О,89 89-я дорога,959727,
 5875.,Ост. Пункт 15 км,О,89 89-я дорога,957276,
 5876.,Ост. Пункт 150 км,Х,45 Придн (У),465314,
 5877.,Ост. Пункт 150 км,О,58 Ю-Вост (Р),607823,
 5878.,Ост. Пункт 1501 км,О,80 Ю-Ур (Р),811835,
 5879.,Ост. Пункт 1503 км,О,63 Кбш (Р),656957,
 5880.,Ост. Пункт 1506 км,О,80 Ю-Ур (Р),811854,
 5881.,Ост. Пункт 1507 км,О,51 С-Кав (Р),515015,
 5882.,Ост. Пункт 151 км,О,17 Моск (Р),185279,
 5883.,Ост. Пункт 151 км,О,48 Дон (У),505047,
 5884.,Ост. Пункт 151 км,О,73 Узбк,741717,
 5885.,Ост. Пункт 151 км,О,80 Ю-Ур (Р),815080,
 5886.,Ост. Пункт 1511 км,О,63 Кбш (Р),657019,
 5887.,Ост. Пункт 1512 км,О,80 Ю-Ур (Р),811888,
 5888.,Ост. Пункт 1519 км,О,45 Придн (У),473518,
 5889.,Ост. Пункт 1519 км,О,80 Ю-Ур (Р),811916,
 5890.,Ост. Пункт 1519 км,О,85 Крым (Р),857260,
 5891.,Ост. Пункт 152 км,О,51 С-Кав (Р),586716,
 5892.,Ост. Пункт 152 км,О,80 Ю-Ур (Р),801994,
 5893.,Ост. Пункт 152 км,О,80 Ю-Ур (Р),810870,
 5894.,Ост. Пункт 1529 км,О,45 Придн (У),473221,
 5895.,Ост. Пункт 1529 км,О,85 Крым (Р),857519,
 5896.,Ост. Пункт 153 км,О,17 Моск (Р),202031,
 5897.,Ост. Пункт 153 км,О,51 С-Кав (Р),519548,
 5898.,Ост. Пункт 1531 км,О,51 С-Кав (Р),520367,
 5899.,Ост. Пункт 154 км,О,39 Млд,393811,
 5900.,Ост. Пункт 154 км,О,43 Южн (У),430029,
 5901.,Ост. Пункт 154 км,О,80 Ю-Ур (Р),816129,
 5902.,Ост. Пункт 1546 км,О,63 Кбш (Р),657150,
 5903.,Ост. Пункт 155 км,О,17 Моск (Р),197030,
 5904.,Ост. Пункт 155 км,О,63 Кбш (Р),652759,
 5905.,Ост. Пункт 155 км,О,76 Сверд (Р),777418,
 5906.,Ост. Пункт 155 км,О,76 Сверд (Р),787119,
 5907.,Ост. Пункт 155 км,О,92 В-Сиб (Р),924018,
 5908.,Ост. Пункт 1551 км,О,76 Сверд (Р),763735,
 5909.,Ост. Пункт 1556 км,О,63 Кбш (Р),657216,
 5910.,Ост. Пункт 156 км,О,17 Моск (Р),185258,
 5911.,Ост. Пункт 1561 км,О,51 С-Кав (Р),520418,
 5912.,Ост. Пункт 1568 км,О,63 Кбш (Р),657243,
 5913.,Ост. Пункт 157 км,О,17 Моск (Р),218114,
 5914.,Ост. Пункт 157 км,О,24 Горьк (Р),272119,
 5915.,Ост. Пункт 157 км,О,80 Ю-Ур (Р),816167,
 5916.,Ост. Пункт 1571 км,О,51 С-Кав (Р),520032,
 5917.,Ост. Пункт 1576 км,О,51 С-Кав (Р),520028,
 5918.,Ост. Пункт 158 км,О,63 Кбш (Р),652731,
 5919.,Ост. Пункт 1586 км,О,76 Сверд (Р),781451,
 5920.,Ост. Пункт 159 км,О,17 Моск (Р),197026,
 5921.,Ост. Пункт 159 км,Х,45 Придн (У),465210,
 5922.,Ост. Пункт 159 км,О,76 Сверд (Р),767115,
 5923.,Ост. Пункт 16 км,О,43 Южн (У),442168,
 5924.,Ост. Пункт 16 км,О,58 Ю-Вост (Р),601550,
 5925.,Ост. Пункт 16 км,О,58 Ю-Вост (Р),602548,
 5926.,Ост. Пункт 16 км,О,89 89-я дорога,898824,
 5927.,Ост. Пункт 160 км,О,17 Моск (Р),185245,
 5928.,Ост. Пункт 160 км,Х,40 Од (У),421316,
 5929.,Ост. Пункт 160 км,О,43 Южн (У),427223,
 5930.,Ост. Пункт 160 км,О,43 Южн (У),447439,
 5931.,Ост. Пункт 160 км,О,75 Трк,755512,
 5932.,Ост. Пункт 1605 км,О,51 С-Кав (Р),529611,
 5933.,Ост. Пункт 161 км,О,58 Ю-Вост (Р),607857,
 5934.,Ост. Пункт 161 км,О,63 Кбш (Р),652744,
 5935.,Ост. Пункт 161 км,О,76 Сверд (Р),786213,
 5936.,Ост. Пункт 1615 км,О,63 Кбш (Р),650096,
 5937.,Ост. Пункт 162 км,О,17 Моск (Р),228826,
 5938.,Ост. Пункт 162 км,О,48 Дон (У),504947,
 5939.,Ост. Пункт 162 км,О,73 Узбк,741810,
 5940.,Ост. Пункт 162 км,О,80 Ю-Ур (Р),813239,
 5941.,Ост. Пункт 162 км,О,84 84-я дорога,848083,
 5942.,Ост. Пункт 163 км,О,17 Моск (Р),226727,
 5943.,Ост. Пункт 163 км,О,58 Ю-Вост (Р),606159,
 5944.,Ост. Пункт 163 км,О,63 Кбш (Р),645312,
 5945.,Ост. Пункт 1638 км,О,63 Кбш (Р),654769,
 5946.,Ост. Пункт 1638 км,О,76 Сверд (Р),780020,
 5947.,Ост. Пункт 164 км,О,17 Моск (Р),202050,
 5948.,Ост. Пункт 1641 км,О,35 Льв (У),383735,
 5949.,Ост. Пункт 165 км,О,17 Моск (Р),197187,
 5950.,Ост. Пункт 165 км,О,24 Горьк (Р),252933,
 5951.,Ост. Пункт 165 км,О,76 Сверд (Р),787015,
 5952.,Ост. Пункт 1655 км,О,51 С-Кав (Р),536026,
 5953.,Ост. Пункт 166 км,О,35 Льв (У),388654,
 5954.,Ост. Пункт 166 км,О,51 С-Кав (Р),519529,
 5955.,Ост. Пункт 166 км,О,51 С-Кав (Р),586561,
 5956.,Ост. Пункт 166 км,О,80 Ю-Ур (Р),810866,
 5957.,Ост. Пункт 1662 км,О,35 Льв (У),383646,
 5958.,Ост. Пункт 1669 км,О,51 С-Кав (Р),530231,
 5959.,Ост. Пункт 167 км,О,17 Моск (Р),184134,
 5960.,Ост. Пункт 167 км,О,17 Моск (Р),185226,
 5961.,Ост. Пункт 167 км,О,43 Южн (У),429623,
 5962.,Ост. Пункт 167 км,О,48 Дон (У),504932,
 5963.,Ост. Пункт 167 км,О,63 Кбш (Р),645327,
 5964.,Ост. Пункт 167 км,О,84 84-я дорога,848079,
 5965.,Ост. Пункт 1676 км,О,51 С-Кав (Р),535521,
 5966.,Ост. Пункт 168 км,О,17 Моск (Р),218133,
 5967.,Ост. Пункт 168 км,О,43 Южн (У),446417,
 5968.,Ост. Пункт 169 км,О,51 С-Кав (Р),517716,
 5969.,Ост. Пункт 169 км,О,58 Ю-Вост (Р),606214,
 5970.,Ост. Пункт 169 км,О,76 Сверд (Р),767045,
 5971.,Ост. Пункт 1691 км,О,63 Кбш (Р),655623,
 5972.,Ост. Пункт 1695 км,О,51 С-Кав (Р),530443,
 5973.,Ост. Пункт 1696 км,О,63 Кбш (Р),655719,
 5974.,Ост. Пункт 17 км,О,24 Горьк (Р),240423,
 5975.,Ост. Пункт 17 км,О,24 Горьк (Р),255310,
 5976.,Ост. Пункт 17 км,О,48 Дон (У),495042,
 5977.,Ост. Пункт 17 км,О,51 С-Кав (Р),521656,
 5978.,Ост. Пункт 17 км,О,51 С-Кав (Р),530759,
 5979.,Ост. Пункт 17 км,О,51 С-Кав (Р),587329,
 5980.,Ост. Пункт 17 км,О,51 С-Кав (Р),588726,
 5981.,Ост. Пункт 17 км,О,58 Ю-Вост (Р),590459,
 5982.,Ост. Пункт 17 км,О,58 Ю-Вост (Р),601511,
 5983.,Ост. Пункт 17 км,О,63 Кбш (Р),636027,
 5984.,Ост. Пункт 17 км,О,76 Сверд (Р),776063,
 5985.,Ост. Пункт 17 км,О,80 Ю-Ур (Р),802797,
 5986.,Ост. Пункт 17 км,О,80 Ю-Ур (Р),805514,
 5987.,Ост. Пункт 17 км,О,80 Ю-Ур (Р),814299,
 5988.,Ост. Пункт 17 км,О,88 Крас (Р),884291,
 5989.,Ост. Пункт 17 км,О,84 84-я дорога,838024,
 5990.,Ост. Пункт 170 км,О,01 Окт (Р),027111,
 5991.,Ост. Пункт 170 км,О,17 Моск (Р),185211,
 5992.,Ост. Пункт 170 км,О,58 Ю-Вост (Р),607912,
 5993.,Ост. Пункт 170 км,О,80 Ю-Ур (Р),827617,
 5994.,Ост. Пункт 1704 км,О,51 С-Кав (Р),530513,
 5995.,Ост. Пункт 171 км,О,24 Горьк (Р),252948,
 5996.,Ост. Пункт 171 км,О,58 Ю-Вост (Р),595819,
 5997.,Ост. Пункт 171 км,О,58 Ю-Вост (Р),607927,
 5998.,Ост. Пункт 1717 км,О,51 С-Кав (Р),530532,
 5999.,Ост. Пункт 172 км,О,39 Млд,393927,
 6000.,Ост. Пункт 172 км,О,76 Сверд (Р),785950,
 6001.,Ост. Пункт 172 км,О,80 Ю-Ур (Р),810851,
 6002.,Ост. Пункт 1724 км,О,51 С-Кав (Р),530617,
 6003.,Ост. Пункт 173 км,О,17 Моск (Р),186712,
 6004.,Ост. Пункт 173 км,О,17 Моск (Р),237543,
 6005.,Ост. Пункт 173 км,О,24 Горьк (Р),275422,
 6006.,Ост. Пункт 173 км,О,51 С-Кав (Р),542525,
 6007.,Ост. Пункт 173 км,О,51 С-Кав (Р),586557,
 6008.,Ост. Пункт 173 км,О,58 Ю-Вост (Р),595823,
 6009.,Ост. Пункт 173 км,О,58 Ю-Вост (Р),606229,
 6010.,Ост. Пункт 173 км,О,76 Сверд (Р),767030,
